iso3,period,admin_level,service,admin_name,pop_total,pop_covered,pop_coverage_pct,area_coverage_pct,tiles,tests,devices,d_median_pop,d_mean_pop,d_median_tile,d_p10_pop,d_p90_pop,divide_ratio,u_median_pop,lat_median_pop,pct_above_bb,pct_above_hi,density
RWA,2026Q2,ADM2,fixed,Bugesera,436734.6676673889,42208.53089904785,9.664570739136579,2.42498486874061,84.0,321.0,113.0,19.144376969739806,34.82937147900085,19.6485,5.4532630952864665,83.06223710038438,15.231657752250998,11.660620180204834,21.0,73.47146596779072,33.09782964057623,337.6592084818163
RWA,2026Q2,ADM2,fixed,Burera,335320.43910598755,1745.6336669921875,0.5205867174832222,0.28957900796286645,5.0,8.0,5.0,24.52935860485438,33.17955596531972,23.923,8.606,85.36487609798837,9.919227991864789,11.497429870609425,17.67213706837581,75.83389212384051,44.64790026818448,519.6819234189802
RWA,2026Q2,ADM2,fixed,Gakenke,334954.3881072998,662.9341430664062,0.19791773644536967,0.05307529834972298,1.0,1.0,1.0,4.039,4.039,4.039,4.039,4.039,1.0,7.91,44.0,0.0,0.0,475.8317086250155
RWA,2026Q2,ADM2,fixed,Gasabo,839561.5456848145,542675.3134155273,64.63794300784433,18.185257254595356,209.0,2678.0,870.0,49.49070624338178,66.32060960479487,48.153,24.08909151539579,112.49542086148625,4.669973576611983,14.240245053690272,10.0,95.86343156091205,89.24087034276634,1955.8340971013752
RWA,2026Q2,ADM2,fixed,Gatsibo,618393.1839426756,37479.27632141113,6.0607518476279685,1.344259214154638,57.0,208.0,64.0,20.578938091707304,18.550710574126025,21.025,10.751847647866583,22.788217956541825,2.1194699462713777,12.448337788873596,23.02099394206407,90.13145828030153,0.0,390.34376771065047
RWA,2026Q2,ADM2,fixed,Gicumbi,441050.4516983032,4422.847106933594,1.0027984530801488,0.18038774632187551,4.0,12.0,4.0,26.369319265853605,24.518447666478245,26.5205,9.73101324225258,26.67771822091456,2.741514943693477,10.001874949058791,37.32160325437471,90.01327515689289,90.01327515689289,532.2968502105392
RWA,2026Q2,ADM2,fixed,Gisagara,351081.7230834961,1784.6860656738281,0.5083392123062427,0.21948683605529187,4.0,47.0,8.0,102.79550136444315,147.99214983238969,104.4675,44.959,329.474,7.328321359460841,38.840675699690564,34.22581364184629,100.0,100.0,516.2111400003147
RWA,2026Q2,ADM2,fixed,Huye,371461.8295135498,12705.384368896484,3.420374143296204,0.577980011983571,9.0,19.0,11.0,23.654467055876637,70.67933945711843,23.324,0.7122322876830043,175.48830351522165,246.39195182531074,9.965188514999456,28.536795302420494,58.19422348426051,45.75568675141746,639.2742010392303
RWA,2026Q2,ADM2,fixed,Kamonyi,407631.43882751465,19696.567413330078,4.831954932127915,1.4716767945615545,26.0,72.0,32.0,7.2410257389297765,16.75122763502719,7.827500000000001,3.666964173155458,46.76129212006637,12.752044991982517,7.101445465718547,19.0,37.1859986720569,23.12940958575794,617.7852752221958
RWA,2026Q2,ADM2,fixed,Karongi,350605.34076714516,3333.1874084472656,0.9506949897437543,0.15101024564183033,4.0,14.0,4.0,52.4980373720191,102.764851360595,12.6675,10.622161203277988,203.234,19.133017858671003,16.78576847186595,28.816167505179788,100.0,47.45083093923896,354.47694562667914
